rab.all	rab.win.Bottom.decile	rab.win.Top.decile	diff.btw	diff.win	diff.btw.025	diff.btw.975	diff.win.025	diff.win.975	effect	effect.025	effect.975	overlap	we.ep	we.eBH	wi.ep	wi.eBH
126	1.62760595201864	1.96123484831968	1.31079207233093	-0.854794268099329	2.322008562584	-6.63310169920441	2.65059045329767	0.37415243859936	6.18538740126907	-0.348695134764729	-6.46833539246329	1.80771693915982	0.313036701123809	0.0273780161844616	0.557764986928095	0.0623087191912532	0.690704048292532
71	1.37912194925978	1.84123917683088	0.872172407207865	-1.33481486748582	3.23868066121549	-8.70274834703259	6.14398645880614	0.56705103642387	9.68935298236548	-0.347297756445886	-5.30765492519401	3.2135091642246	0.328125009913422	0.11372168998013	0.753516082618753	0.0804491346069473	0.74948709256931
97	2.21650085582372	1.89124466387406	2.51279087514486	0.577040425403311	1.57305530396139	-2.81542163880145	3.28648788713509	0.272996278996106	3.93250554975354	0.345474562712938	-3.01604845608802	5.03799545848952	0.35078125833172	0.210019395936682	0.852006169951427	0.12954212800721	0.812331502527233
47	3.88502356038988	4.35287201216746	3.43800629122116	-0.937488713471002	2.58468418182916	-4.96912534871598	5.01909718263378	0.39693306483669	6.06596107492394	-0.342204823899913	-4.72611987999869	2.70613176540798	0.380171747283551	0.201442460426433	0.858544416215993	0.176089783888115	0.880515621183744
73	3.3691385477513	3.22190613108714	3.96151437949163	0.685304204205286	1.90177296538269	-2.64866336088381	3.93236112782499	0.311339828063677	4.10314042892147	0.338316482657635	-2.67891914855053	5.03719193588995	0.364062507465993	0.121892804923234	0.762294431872748	0.136376368020261	0.829995287101204
268	-4.25783504190378	-3.26193724445464	-4.91597911011619	-2.06647985543847	5.3942610356081	-12.4282467377532	9.12351563018928	0.928577608748087	14.8157700556063	-0.332365344517768	-4.86953008214011	2.97407403899825	0.340359103484792	0.208486030298243	0.733338455276952	0.178871404333837	0.756647305638038
182	-1.97899808307023	-1.35782280661926	-2.58202145288072	-1.56647426057525	4.14373426099336	-11.3224049293322	6.4517557308371	0.669636781325965	13.0191173695772	-0.33186658972151	-6.32994802417914	2.52761661179062	0.314062510975013	0.0750053469942105	0.625927375040178	0.0758878628752538	0.684060061967774
232	-0.441447154518916	-0.0531063884440881	-0.883979094754723	-0.884969138533498	2.34409244004932	-6.52308258013909	3.7301281112556	0.418098392145111	7.82127088241102	-0.326970385847109	-5.91999694019319	2.53346008868287	0.356250007970296	0.132755798021748	0.744790314425641	0.121063878255557	0.78106605033484
155	0.837946461800666	0.254575669088762	1.55625602819288	1.02518899885092	3.4022007246598	-4.88480350148012	6.75735903731387	0.552449653787898	7.12003390742333	0.319295210484455	-2.38139568656021	4.6957510018431	0.352849344637299	0.128702749673546	0.765439035032974	0.129223511689386	0.817554124042511
67	1.99157497884259	1.84734942080421	2.20191871583451	0.759828844346909	2.04998615870407	-3.12331743004966	5.71799992604652	0.308691864219047	5.75499944805035	0.315123236298523	-2.3970381494808	6.69077464643389	0.341139743555613	0.0449900288964424	0.617406997797731	0.106454755655445	0.775065730824467
114	1.8096263047159	1.59899735370225	2.31123825037146	0.734988387876474	2.31448877942624	-3.33022521489876	4.57684143486197	0.407189247090568	4.94431537273291	0.308385913357163	-2.42092525092347	4.34463373594475	0.365339585827638	0.144575507699568	0.790081405399036	0.184088987870401	0.874457241127256
124	1.62430028893854	2.01687866339364	1.27889089747373	-0.704141328221137	1.97580331697626	-6.49059695940585	2.78311324450012	0.333598663844249	6.63748737069752	-0.297586234198903	-6.01259163288232	2.530305388799	0.350000008383948	0.0890011634420142	0.712486506371622	0.110968579652534	0.791492300556315
98	2.2937406452644	2.05422548533122	2.62204877881543	0.655294062253928	1.81415561055311	-3.42638069842213	5.31070466305474	0.301215898553085	5.34681847869029	0.296897245252139	-3.09000430403732	5.29327266567785	0.343750008807379	0.150834134325898	0.800334996203851	0.109531744457364	0.781533311804269
28	4.46283746126019	5.40512087266745	4.05486211426942	-0.749616058536605	2.44499977045625	-4.21111507304038	3.76650397572524	0.315369613259045	4.5086731735543	-0.291760281016325	-4.80202631769331	2.80161673980185	0.377343756638086	0.164590714623849	0.818467015731698	0.18136786706053	0.882729940003283
283	-4.04534783896909	-4.52105905250083	-3.44719367448554	1.41952448656332	4.2194605372552	-7.71785485392272	9.734967926208	0.752546203457247	12.4158000330139	0.291270048029396	-3.05604695884632	5.02200981610777	0.373926626665363	0.311873159185119	0.823195104258872	0.24783989474856	0.842511249364568
1	7.37890518141068	8.08899755731565	6.85453883374118	-0.484007533314158	1.71328525543112	-3.79510906607675	2.33718279467519	0.196610402637857	3.65779653112539	-0.290595628126459	-6.0703178748716	3.15062970289223	0.350000008383948	0.0945890439543379	0.732342022019151	0.0989183817929979	0.788007653185316
92	2.23796059734703	2.35898180500135	2.05399219945338	-0.723684545080484	2.33296943637418	-5.44405017002273	3.26116829757772	0.336918460693388	6.02961276689277	-0.287379098474934	-5.50014025945944	2.7918615990576	0.385937506120009	0.114974375435674	0.751709733484023	0.229478772022231	0.910161365161476
27	4.49566562534339	4.86492094788461	3.453987220716	-0.734069988794321	2.40556144442684	-5.04060790856815	3.7533448539258	0.326602630303497	5.26288264970794	-0.2845894006751	-4.65618013745336	3.4307274625392	0.395784548858287	0.204909369810648	0.860073056852734	0.257363123951831	0.928027900745268
218	-1.32335502203355	-2.46752409802646	-0.373957018014826	1.41991465566313	5.13523695207639	-7.70041108747837	12.7153857017289	0.735736438240203	14.2752196971681	0.275455510591506	-2.70102157069579	6.07784971659267	0.333593759518124	0.161938792011178	0.745773831567043	0.0829268922257962	0.71955307058525
167	0.465512288121063	0.133855943835264	0.844170124462528	0.836862037309818	2.60039671769175	-4.63681564781983	7.55938864868237	0.398687853016873	8.64530948606418	0.271968546882029	-2.92787965473734	6.0362182990958	0.34972678434542	0.121970257516347	0.758858236272595	0.10431337266725	0.772997710350129
19	3.78813662259545	4.08818487585234	3.48330532239298	-0.689184082007809	2.56541145205214	-6.25911170080111	4.22447644717952	0.266153886407535	6.15572557268537	-0.270655211894251	-7.14105872266818	3.24403373965886	0.339843759077297	0.123643691072899	0.770528802805216	0.0929339184617543	0.773256472443762
192	0.268627376381671	0.0498090720475854	0.861275768564273	0.881526739663512	2.78152543908227	-4.54611874235329	7.32561694699301	0.383022925010953	9.24312164292751	0.270294519674544	-2.82831222178711	7.02010961092283	0.366406257317304	0.148808015469438	0.781021234474006	0.172660446666475	0.837137377129989
70	3.45519220789292	3.81111369561537	3.20665117656882	-0.506513629198774	1.80332669700664	-3.54816516811644	2.97210330852343	0.351850153376798	4.02203648019626	-0.268128792043166	-4.23564040956302	2.83329194730199	0.379391107205888	0.240859852756481	0.882990717711758	0.210476217556624	0.904936067176216
76	0.957346820632941	0.297594371892654	1.32044769948482	1.04746792045743	4.10839320193948	-5.62837353314883	9.39206757644363	0.536444175438907	10.5489274257841	0.265513521869798	-3.06018454249395	5.42545881581136	0.360655745377152	0.136106290251174	0.781824291777698	0.121345244895491	0.812621872047579
214	-1.45952019173683	-2.02429349823894	-1.02721246917271	1.20537587827471	4.20175755506312	-6.32701166736124	11.4425874282216	0.634345069831347	12.9863096189075	0.264761830616308	-2.40854950211929	5.98006232423318	0.351562508279644	0.126638385079728	0.706488193090983	0.139231822788696	0.802561415147262
